"","Workout","Timestamp","Live.On.Demand","Instructor.Name","Length..minutes.","Fitness.Discipline","Type","Title","Class.Timestamp","Total.Output","Avg..Watts","Avg..Resistance","Avg..Cadence..RPM.","Avg..Speed..kph.","Distance..km.","Calories.Burned","Avg..Heartrate","Avg..Incline","Avg..Pace..min.km."
"40","2020-08-22","16:56","On Demand","Sam Yo",20,"Cycling","Intervals","20 min HIIT Ride","2020-07-31 07:50 (EDT)",43,36,"37%",38,12.26,4.09,171,134.02,NA,NA
"41","2020-08-23","15:07","On Demand","Hannah Corbin",30,"Cycling","Beginner","30 min Advanced Beginner Ride","2020-08-02 09:20 (EDT)",68,73,"49%",49,23.95,6.73,184,NA,NA,NA
"42","2020-08-26","16:18","On Demand","Robin Arzon",20,"Cycling","Beginner","20 min Beginner Ride","2019-11-13 16:16 (EDT)",52,43,"28%",68,16.98,5.65,160,129.23,NA,NA
"43","2020-08-26","16:44","","",6,"Cycling","","6 min Just Ride","",19,52,"32%",69,19.38,1.93,52,134.46,NA,NA
"44","2020-08-27","15:38","On Demand","Robin Arzon",20,"Cycling","Beginner","20 min Beginner Ride","2019-11-13 16:16 (EDT)",61,51,"30%",72,18.59,6.2,94,NA,NA,NA
"45","2020-08-27","16:02","On Demand","Robin Arzon",10,"Strength","Arms & Light Weights","10 min Arms Toning","2020-07-31 18:35 (EDT)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"46","2020-08-29","13:07","On Demand","Robin Arzon",20,"Cycling","Beginner","20 min Beginner Ride","2019-11-13 16:16 (EDT)",60,50,"29%",75,18.67,6.21,202,147.65,NA,NA
"47","2020-08-29","13:37","On Demand","Robin Arzon",15,"Cycling","Intervals","15 min Tabata Ride","2019-09-26 15:21 (EDT)",62,69,"47%",45,18.46,4.6,172,159.84,NA,NA
"48","2020-08-30","14:50","On Demand","Robin Arzon",15,"Cycling","Intervals","15 min Tabata Ride","2019-09-26 15:21 (EDT)",59,65,"48%",39,16.06,4.01,159,152.31,NA,NA
"49","2020-10-08","14:24","On Demand","Robin Arzon",20,"Cycling","Beginner","20 min Beginner Ride","2019-11-13 16:16 (EDT)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"50","2020-10-08","14:27","On Demand","Robin Arzon",20,"Cycling","Beginner","20 min Beginner Ride","2019-11-13 16:16 (EDT)",59,49,"30%",70,18.3,6.1,149,123,NA,NA
"51","2020-10-08","14:51","On Demand","Ally Love",20,"Cycling","Low Impact","20 min Recovery Ride","2019-11-09 07:00 (EDT)",54,45,"30%",69,17.98,5.99,127,NA,NA,NA
"52","2020-10-08","15:13","On Demand","Ally Love",5,"Stretching","Pre & Post-Ride Stretch","5 min Post-Ride Stretch","2020-07-17 09:00 (EDT)",NA,NA,"",NA,NA,NA,14,NA,NA,NA
"53","2020-10-14","12:28","On Demand","Robin Arzon",20,"Cycling","Low Impact","20 min Low Impact Ride","2018-10-31 16:50 (EDT)",77,64,"32%",77,21.07,7.02,192,141,NA,NA
"54","2021-02-08","12:16","On Demand","Leanne Hainsby",30,"Cycling","Beginner","30 min Advanced Beginner Ride","2021-01-27 01:30 (EDT)",107,59,"38%",60,20,9.99,329,154,NA,NA
"55","2021-02-08","12:48","On Demand","Leanne Hainsby",5,"Cycling","Warm Up/Cool Down","5 min Cool Down Ride","2020-12-13 11:35 (EDT)",9,30,"25%",67,14.68,1.21,44,138,NA,NA
"56","2021-02-08","12:54","On Demand","Leanne Hainsby",5,"Stretching","Pre & Post-Ride Stretch","5 min Post-Ride Stretch","2021-01-13 01:15 (EDT)",NA,NA,"",NA,NA,NA,45,138.46,NA,NA
"57","2021-02-09","10:43","On Demand","Leanne Hainsby",20,"Cycling","Beginner","20 min Beginner Ride","2019-04-07 03:07 (EDT)",67,56,"34%",64,19.52,6.5,188,140,NA,NA
"58","2021-02-09","11:05","On Demand","Leanne Hainsby",5,"Cycling","Warm Up/Cool Down","5 min Cool Down Ride","2020-12-13 11:35 (EDT)",10,34,"29%",61,15.71,1.3,39,127,NA,NA
"59","2021-02-09","11:11","On Demand","Leanne Hainsby",5,"Stretching","Pre & Post-Ride Stretch","5 min Post-Ride Stretch","2021-01-13 01:15 (EDT)",NA,NA,"",NA,NA,NA,36,123.1,NA,NA
"60","2021-02-10","10:18","On Demand","Leanne Hainsby",20,"Cycling","Music","20 min 90s Ride","2020-10-13 02:24 (EDT)",71,59,"37%",56,18.41,6.13,202,146,NA,NA
"61","2021-02-10","10:41","On Demand","Leanne Hainsby",5,"Cycling","Warm Up/Cool Down","5 min Cool Down Ride","2020-12-13 11:35 (EDT)",15,49,"35%",60,18.23,1.51,44,141,NA,NA
"62","2021-02-10","10:49","On Demand","Leanne Hainsby",10,"Strength","Arms & Light Weights","10 min Arms Toning","2021-02-09 09:32 (EDT)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"63","2021-02-12","10:12","On Demand","Leanne Hainsby",20,"Cycling","Beginner","20 min Beginner Ride","2019-04-07 03:07 (EDT)",82,68,"37%",66,21.6,7.19,188,140,NA,NA
"64","2021-02-12","10:35","On Demand","Leanne Hainsby",10,"Strength","Arms & Light Weights","10 min Arms Toning","2021-02-09 09:32 (EDT)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"65","2021-02-13","9:44","On Demand","Leanne Hainsby",30,"Cycling","Beginner","30 min Advanced Beginner Ride","2021-01-27 01:30 (EDT)",126,70,"42%",55,20.42,10.22,292,143,NA,NA
